generation,best_cost
0,9336.659695918175
1,8854.157195802763
2,8806.664341960784
3,8529.438640267463
4,8218.10554975149
5,8110.8583397126185
6,7716.475384651792
7,7716.475384651792
8,7659.099541647753
9,7283.2658624833875
10,7283.2658624833875
11,7088.155499983462
12,7077.469505603895
13,7014.353203948529
14,7014.353203948529
15,6981.064724308786
16,6760.6303635501445
17,6760.6303635501445
18,6760.6303635501445
19,6566.93246651795
20,6566.93246651795
21,6408.278911952944
22,6408.278911952944
23,6408.278911952944
24,6408.278911952944
25,6324.714266512821
26,6324.714266512821
27,6315.521116165763
28,6284.717940207809
29,6284.717940207809
30,6187.200283583537
31,6187.200283583537
32,6187.200283583537
33,6187.200283583537
34,6185.444608846043
35,6185.444608846043
36,6123.375264068487
37,6121.619589330993
38,6119.553947567692
39,6119.553947567692
40,6022.019816753435
41,6022.019816753435
42,6016.245532537972
43,6016.245532537972
44,6016.245532537972
45,6009.861692154313
46,5967.183898867947
47,5941.526347625539
48,5941.526347625539
49,5939.770672888046
50,5939.770672888046
51,5935.7520634100765
52,5914.676404131156
53,5858.613830926617
54,5858.613830926617
55,5841.686655300763
56,5841.686655300763
57,5841.686655300763
58,5841.686655300763
59,5841.686655300763
60,5841.686655300763
61,5841.686655300763
62,5841.686655300763
63,5841.686655300763
64,5841.686655300763
65,5841.686655300763
66,5841.686655300763
67,5841.686655300763
68,5841.686655300763
69,5841.686655300763
70,5841.686655300763
71,5841.686655300763
72,5841.686655300763
73,5841.686655300763
74,5841.686655300763
75,5841.686655300763
